ds,channel,response,spend
2016-01-04,tv_S,20217.96775933688,402220.52486429515
2016-01-11,tv_S,8342.958510528355,290994.74767084187
2016-01-18,tv_S,2730.3646888497688,194507.29122763945
2016-01-25,tv_S,888.0191560651728,130012.9526169612
2016-02-01,tv_S,3412.477891077897,210742.21781413443
2016-02-08,tv_S,1110.7047581559927,140864.73471575935
2016-02-15,tv_S,55796.16542991529,591230.3877081773
2016-02-22,tv_S,19276.12924655649,395191.3982126753
2016-02-29,tv_S,52163.75301804615,575826.8247761128
2016-03-07,tv_S,17944.79951962052,384895.31787049887
2016-03-14,tv_S,20675.64353422057,405565.7981616346
2016-03-21,tv_S,6860.401753454951,271089.1019387961
2016-03-28,tv_S,2241.483689563247,181201.91969613396
2016-04-04,tv_S,728.623149165068,121119.34956712925
2016-04-11,tv_S,236.45370147314404,80958.83787635966
2016-04-18,tv_S,1039.6105043111977,137565.16833099208
2016-04-25,tv_S,337.49130379539855,91951.58494613838
2016-05-02,tv_S,109.47594275298377,61462.462312867705
2016-05-09,tv_S,35.50306093920305,41082.86198409166
2016-05-16,tv_S,11.51270946777858,27460.688773130514
2016-05-23,tv_S,3.733170506722884,18355.328511113443
2016-05-30,tv_S,1.2105267449380355,12269.105394055468
2016-06-06,tv_S,0.39252719089626553,8200.939965705344
2016-06-13,tv_S,0.12728133231042352,5481.688693756697
2016-06-20,tv_S,1508.6420630095852,157206.98132005823
2016-06-27,tv_S,490.00737962480673,105080.60486791596
2016-07-04,tv_S,1230.8354446854275,146145.7880670221
2016-07-11,tv_S,399.6533237030446,97687.05995133505
2016-07-18,tv_S,225.12748292120983,79549.27998679127
2016-07-25,tv_S,73.01816315932324,53172.48882733099
2016-08-01,tv_S,5296.089033124407,246893.56132694223
2016-08-08,tv_S,1727.3829916217846,165029.08804927737
2016-08-15,tv_S,11311.524787813318,325039.1730920741
2016-08-22,tv_S,3714.1207253431794,217263.33415655035
2016-08-29,tv_S,11322.80857545008,325157.2923435897
2016-09-05,tv_S,16938.75339758857,376806.0876628869
2016-09-12,tv_S,5596.908740214915,251865.47872780217
2016-09-19,tv_S,1826.1070197929755,168352.42702219498
2016-09-26,tv_S,593.3277220767649,112530.46597502961
2016-10-03,tv_S,243373.8979093925,1159242.6391279614
2016-10-10,tv_S,107784.43889656088,774863.2833311901
2016-10-17,tv_S,232373.4481067253,1128355.7655708008
2016-10-24,tv_S,101238.71257265992,754217.8175343657
