plotMediaShareLoopBar.rn,plotMediaShareLoopBar.nrmse,plotMediaShareLoopBar.decomp.rssd,plotMediaShareLoopBar.rsq_train,plotMediaShareLoopBar.variable,plotMediaShareLoopBar.value,plotMediaShareLoopLine.rn,plotMediaShareLoopLine.nrmse,plotMediaShareLoopLine.decomp.rssd,plotMediaShareLoopLine.rsq_train,plotMediaShareLoopLine.variable,plotMediaShareLoopLine.value,ySecScale
tv_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,spend_share,0.3502266730612157,tv_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.32741008600922455,1.1258001515186646
ooh_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,spend_share,0.2783965273217466,ooh_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3372345710847711,1.1258001515186646
print_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,spend_share,0.08131034537883294,print_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.24255696291806814,1.1258001515186646
facebook_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,spend_share,0.18060119743698672,facebook_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3584411287256313,1.1258001515186646
search_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,spend_share,0.10946525680121799,search_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3278966905124026,1.1258001515186646
tv_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,effect_share,0.34863669216566245,tv_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.32741008600922455,1.1258001515186646
ooh_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,effect_share,0.2854484721132293,ooh_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3372345710847711,1.1258001515186646
print_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,effect_share,0.05996410718426581,print_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.24255696291806814,1.1258001515186646
facebook_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,effect_share,0.19682047770889324,facebook_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3584411287256313,1.1258001515186646
search_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,effect_share,0.10913025082794925,search_S,0.057753831413995114,0.027768635745933284,0.9238941212441325,roi_total,0.3278966905124026,1.1258001515186646
